INFO 2026-02-08 09:53:33,815 autoreload Watching for file changes with StatReloader
WARNING 2026-02-08 09:53:37,265 log Not Found: /
INFO 2026-02-08 09:53:37,266 log "GET /admin HTTP/1.1" 301 0
WARNING 2026-02-08 09:53:37,267 log "GET / HTTP/1.1" 404 2626
INFO 2026-02-08 09:53:37,620 log "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-08 09:53:37,699 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-02-08 09:53:37,751 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-08 09:53:37,754 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-02-08 09:53:37,772 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-02-08 09:53:38,293 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-08 09:53:38,294 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-02-08 09:53:38,321 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-08 09:53:38,322 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
WARNING 2026-02-08 09:53:39,141 log Not Found: /favicon.ico
WARNING 2026-02-08 09:53:39,141 log "GET /favicon.ico HTTP/1.1" 404 2677
WARNING 2026-02-08 09:53:40,809 log Not Found: /favicon.ico
WARNING 2026-02-08 09:53:40,819 log "GET /favicon.ico HTTP/1.1" 404 2677
INFO 2026-02-08 09:53:53,778 log "GET /admin HTTP/1.1" 301 0
INFO 2026-02-08 09:53:53,790 log "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-08 09:53:53,805 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-02-08 09:53:53,871 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-02-08 09:53:53,877 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-02-08 09:53:53,877 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-08 09:53:53,878 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-02-08 09:53:53,879 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-08 09:53:53,879 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-02-08 09:53:53,914 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-08 09:54:34,994 log "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4252
INFO 2026-02-08 09:54:35,051 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-08 09:54:35,053 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-08 09:54:35,063 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-08 09:54:35,071 log "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2026-02-08 09:54:35,077 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-08 09:54:35,078 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-08 09:54:35,114 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-08 09:54:47,779 log "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4252
INFO 2026-02-08 09:56:45,472 log "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4252
INFO 2026-02-08 09:56:45,598 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-08 09:56:45,619 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-08 09:56:45,623 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
